ISO,Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
ATG,Antigua and Barbuda,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","18,925.37","18,362.98","18,694.80","18,301.18","18,708.43","19,129.79","19,876.07","20,190.63","21,267.02","21,944.75","17,290.99","17,205.20","18,151.84","18,898.87","19,462.63","19,849.39","20,115.55",2011
ATG,Antigua and Barbuda,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","13,564.68","13,295.36","13,811.08","13,392.22","13,951.99","14,696.89","15,556.01","15,655.23","16,860.96","17,451.55","13,967.33","14,117.84","15,196.34","16,137.47","16,950.96","17,633.72","18,228.01",2011
ATG,Antigua and Barbuda,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,
ARG,Argentina,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","23,521.27","24,647.63","24,118.87","24,424.14","23,550.10","23,933.89","23,189.53","23,597.12","22,759.40","22,063.90","19,681.61","20,948.25","21,252.02","21,462.44","21,632.31","21,793.21","21,973.57",2019
ARG,Argentina,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","10,412.97","12,787.81","13,889.79","14,488.83","13,208.83","14,895.32","12,772.87","14,618.33","11,786.43","10,054.02","8,571.94","9,929.15","10,448.39","10,189.26","10,337.88","10,723.00","11,129.62",2019
ARG,Argentina,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,
ARM,Armenia,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","8,996.94","9,414.58","10,079.40","10,388.32","10,744.19","11,074.41","11,087.77","11,974.03","12,644.05","13,637.87","12,637.25","13,452.64","14,062.67","14,680.25","15,280.92","15,890.89","16,525.20",2020
ARM,Armenia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,121.78","3,417.17","3,575.53","3,732.04","3,889.00","3,529.03","3,524.00","3,868.91","4,195.96","4,596.86","4,267.49","4,594.91","5,083.22","5,453.16","5,861.56","6,304.91","6,776.74",2020
ARM,Armenia,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,
ABW,Aruba,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","33,137.61","33,940.92","33,020.16","34,548.22","34,081.60","34,838.71","35,209.86","36,971.03","37,236.90","36,219.60","28,424.05","31,938.97","34,203.12","36,190.17","36,963.58","37,401.54","37,821.91",2019
ABW,Aruba,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","24,084.88","25,656.88","25,006.76","25,641.78","25,883.62","27,126.62","27,036.93","27,897.42","28,727.94","29,505.34","22,483.49","25,700.87","27,955.24","30,008.08","31,056.40","31,841.69","32,627.18",2019
ABW,Aruba,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,
AUS,Australia,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","46,166.89","46,743.74","47,659.18","47,903.48","48,423.48","48,838.19","49,337.69","49,748.46","50,356.29","50,542.12","49,092.13","50,781.05","52,619.14","53,408.81","54,098.69","54,843.19","55,600.69",2020
AUS,Australia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","56,459.92","67,208.49","68,445.12","65,174.72","61,648.08","51,484.64","51,915.24","55,915.00","56,460.90","54,476.91","52,905.40","62,618.59","64,895.02","67,842.29","70,479.93","73,061.70","75,670.28",2020
AUS,Australia,Output gap in percent of potential GDP,Percent of potential GDP,,"See notes for:  Gross domestic product, constant prices (National currency).",-0.887,-0.947,-0.155,-0.779,-0.922,-1.166,-0.868,-0.758,-0.358,-0.742,-4.288,-2.258,0.03,n/a,n/a,n/a,n/a,2020
AUT,Austria,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","52,095.40","53,442.50","53,564.92","53,256.78","53,190.42","53,197.15","53,570.83","54,390.55","55,354.63","56,303.44","52,573.95","54,362.19","56,525.86","57,425.78","58,282.88","59,152.77","59,917.93",2019
AUT,Austria,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","46,955.17","51,452.28","48,616.90","50,747.38","51,814.42","44,267.81","45,278.83","47,317.91","51,246.15","50,246.61","48,592.71","53,793.37","57,878.72","60,403.54","63,314.96","67,294.42","70,818.95",2019
AUT,Austria,Output gap in percent of potential GDP,Percent of potential GDP,,"See notes for:  Gross domestic product, constant prices (National currency).",-0.675,1.087,0.687,-0.343,-0.963,-0.926,-0.499,0.339,1.281,1.003,-1.297,-1.505,-0.462,n/a,n/a,n/a,n/a,2019
AZE,Azerbaijan,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","14,403.00","13,999.84","14,116.13","14,747.14","14,966.79","14,941.15","14,315.38","14,184.79","14,269.47","14,501.14","13,761.01","14,000.22","14,159.20","14,231.23","14,305.26","14,381.32","14,459.42",2020
AZE,Azerbaijan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","5,880.81","7,242.81","7,545.87","7,926.09","7,939.17","5,300.14","3,897.71","4,217.65","4,759.80","4,826.35","4,232.32","5,167.38","5,307.83","5,364.76","5,455.40","5,573.41","5,714.52",2020
AZE,Azerbaijan,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,
BHS,The Bahamas,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","37,651.77","37,464.16","38,194.02","36,418.53","36,840.39","37,012.78","36,637.41","36,821.57","37,422.49","37,269.26","31,507.94","31,783.08","33,945.30","34,912.22","35,717.07","35,957.68","36,093.00",2018
BHS,The Bahamas,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","29,303.26","28,906.97","30,433.05","29,462.76","30,937.32","32,648.64","32,565.04","33,191.21","34,094.37","34,575.62","25,734.16","27,437.20","30,584.62","32,368.22","34,008.96","35,092.86","36,069.75",2018
BHS,The Bahamas,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,
BHR,Bahrain,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","44,826.72","47,228.90","48,424.65","49,246.00","48,989.61","48,164.15","48,006.93","47,486.02","48,239.39","50,118.41","47,941.39","48,617.21","49,116.26","49,617.71","50,116.20","50,627.42","51,148.50",2020
BHR,Bahrain,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","20,827.72","24,080.43","25,434.45","25,965.31","25,398.32","22,659.37","22,641.28","23,631.59","25,049.64","25,925.28","23,589.96","26,293.95","27,052.97","27,678.48","28,412.12","29,209.05","30,038.18",2020
BHR,Bahrain,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,
BGD,Bangladesh,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","3,063.12","3,224.92","3,387.44","3,550.66","3,731.97","3,943.01","4,181.10","4,450.31","4,756.74","5,113.78","5,012.94","5,246.10","5,677.52","6,030.76","6,408.03","6,807.88","7,224.91",2020
BGD,Bangladesh,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",781.154,861.541,882.763,982.072,"1,118.86","1,248.89","1,401.51","1,563.81","1,693.77","1,854.67","1,961.61","2,138.79","2,326.63","2,534.45","2,754.41","2,994.46","3,253.50",2020
BGD,Bangladesh,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,
BRB,Barbados,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","15,739.03","15,575.63","15,451.41","15,183.51","15,117.44","15,441.95","15,782.48","15,817.71","15,685.70","15,444.60","12,632.53","13,016.38","14,087.03","14,725.85","15,099.87","15,338.80","15,581.50",2019
BRB,Barbados,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","16,203.26","16,599.01","16,371.95","16,556.10","16,572.31","16,589.45","16,947.63","17,423.25","17,758.08","18,448.83","15,346.28","16,105.13","17,769.73","18,947.06","19,836.29","20,615.87","21,422.72",2019
BRB,Barbados,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,
BLR,Belarus,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","17,317.20","18,279.55","18,618.57","18,815.51","19,128.72","18,378.65","17,882.39","18,334.76","18,954.13","19,267.04","19,122.76","19,644.05","19,843.80","20,149.63","20,489.89","20,856.63","21,237.82",2020
BLR,Belarus,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","6,025.69","6,478.89","6,948.35","7,995.73","8,337.15","5,958.84","5,037.85","5,778.56","6,351.76","6,831.52","6,397.51","7,032.48","7,592.19","7,911.69","8,335.22","8,723.33","9,087.23",2020
BLR,Belarus,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,
BEL,Belgium,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","48,389.92","48,490.85","48,517.35","48,468.50","49,044.84","49,794.66","50,096.29","50,726.55","51,421.11","52,078.71","48,522.68","51,171.73","52,571.87","53,268.60","53,774.96","54,259.77","54,785.54",2020
BEL,Belgium,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","44,448.17","47,564.38","44,824.16","46,848.61","47,897.04","41,147.26","42,076.40","44,274.07","47,718.41","46,555.09","44,688.46","50,412.71","53,452.46","55,938.77","58,206.32","60,422.10","62,570.41",2020
BEL,Belgium,Output gap in percent of potential GDP,Percent of potential GDP,,"See notes for:  Gross domestic product, constant prices (National currency).",-0.654,-0.316,-0.931,-1.827,-1.714,-1.193,-1.317,-1.058,-0.484,0.14,-3.548,-1.596,-0.286,n/a,n/a,n/a,n/a,2020
BLZ,Belize,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","7,294.96","7,219.45","7,204.97","7,112.19","7,210.25","7,211.06","7,024.55","6,969.15","6,988.60","6,929.95","5,814.01","6,166.38","6,371.92","6,421.90","6,421.90","6,421.90","6,421.90",2020
BLZ,Belize,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,270.94","4,398.88","4,468.70","4,516.11","4,645.69","4,674.60","4,734.01","4,791.52","4,813.21","4,853.32","4,076.77","4,457.89","4,721.64","4,853.85","4,950.93","5,049.95","5,150.95",2020
BLZ,Belize,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,
BEN,Benin,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","2,704.71","2,707.87","2,759.85","2,876.90","2,975.85","2,945.97","2,961.44","3,044.52","3,159.37","3,283.84","3,316.95","3,404.12","3,527.41","3,653.43","3,784.09","3,919.18","4,058.16",2017
BEN,Benin,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,037.38","1,130.07","1,145.87","1,251.23","1,291.74","1,076.91","1,086.99","1,136.19","1,240.84","1,218.28","1,290.50","1,446.83","1,551.42","1,654.79","1,766.17","1,883.33","2,001.48",2017
BEN,Benin,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,
BTN,Bhutan,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","7,783.44","8,447.25","8,886.37","9,092.63","9,338.28","9,738.41","10,332.50","10,851.90","11,208.40","11,639.56","11,431.73","11,105.02","11,460.03","11,995.31","12,780.40","13,385.85","14,019.99",2015
BTN,Bhutan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,097.66","2,511.60","2,592.37","2,609.65","2,546.91","2,693.63","2,803.64","3,234.75","3,280.72","3,371.02","3,358.96","3,296.11","3,605.55","3,910.25","4,298.46","4,626.95","4,965.99",2015
BTN,Bhutan,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","6,625.06","6,860.40","7,100.32","7,467.42","7,757.10","8,013.70","8,233.76","8,456.07","8,688.55","8,757.26","7,874.20","8,144.91","8,357.39","8,545.15","8,737.52","8,927.12","9,095.23",2017
BOL,Bolivia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,972.68","2,368.52","2,635.93","2,938.42","3,114.97","3,069.32","3,110.87","3,388.52","3,588.09","3,591.40","3,167.61","3,266.69","3,419.33","3,616.43","3,827.39","4,047.44","4,267.99",2017
BOL,Bolivia,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","11,006.82","11,240.31","11,331.12","11,803.80","12,145.04","12,713.62","13,280.09","13,836.66","14,483.75","14,993.05","14,440.49","14,917.61","15,464.04","15,977.12","16,538.11","17,103.21","17,676.87",2018
BIH,Bosnia and Herzegovina,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,633.86","5,089.85","4,773.16","5,125.60","5,319.32","4,727.26","4,994.07","5,392.37","6,073.94","6,120.16","6,035.00","6,647.83","7,078.90","7,568.24","8,092.60","8,651.22","9,221.16",2018
BIH,Bosnia and Herzegovina,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","13,126.23","13,724.68","14,166.54","15,597.63","16,042.07","14,895.93","15,654.69","15,948.03","16,243.31","16,386.87","14,688.12","15,705.54","16,103.86","16,473.24","16,776.05","17,083.66","17,402.29",2019
BWA,Botswana,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","6,202.47","7,357.59","7,609.17","6,966.08","7,499.16","6,413.79","6,988.16","7,286.77","7,513.63","7,219.46","6,420.23","7,349.88","7,770.51","8,257.27","8,718.33","9,144.08","9,823.11",2019
BWA,Botswana,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","14,936.01","15,394.31","15,554.69","15,886.78","15,831.19","15,137.91","14,522.03","14,596.87","14,736.82","14,827.29","14,117.35","14,796.02","14,929.79","15,142.28","15,375.55","15,619.33","15,868.79",2019
BRA,Brazil,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","11,333.02","13,295.90","12,424.95","12,358.34","12,175.68","8,846.48","8,757.31","9,978.09","9,194.15","8,935.76","6,822.56","7,741.15","8,464.33","9,102.21","9,800.05","10,371.90","10,922.30",2019
BRA,Brazil,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,
BRN,Brunei Darussalam,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","68,072.73","69,441.78","69,139.42","66,898.52","64,532.73","63,523.17","61,236.05","60,280.82","58,553.73","58,555.74","59,071.41","60,099.31","61,507.32","62,832.01","64,054.17","65,228.70","66,426.67",2020
BRN,Brunei Darussalam,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","35,437.22","47,092.30","47,772.21","44,860.43","41,947.16","31,355.74","27,318.05","28,236.77","30,668.37","29,314.11","26,061.00","33,979.37","35,148.83","33,907.08","33,825.98","33,948.82","34,239.63",2020
BRN,Brunei Darussalam,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","17,241.07","18,074.86","18,245.57","18,403.22","18,863.40","19,748.77","20,653.17","21,533.74","22,358.21","23,346.14","22,489.43","23,652.36","24,842.12","25,991.75","27,095.23","28,114.70","29,087.69",2020
BGR,Bulgaria,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","6,713.33","7,832.19","7,417.27","7,675.91","7,900.70","7,079.78","7,575.77","8,381.99","9,470.58","9,863.02","10,006.35","11,331.87","12,336.97","13,414.42","14,509.32","15,599.36","16,672.04",2020
BGR,Bulgaria,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","1,716.36","1,775.78","1,834.54","1,883.80","1,907.95","1,925.33","1,981.43","2,044.39","2,120.33","2,178.32","2,157.62","2,236.43","2,295.20","2,349.29","2,403.70","2,459.00","2,516.37",2018
BFA,Burkina Faso,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",648.365,751.041,758.48,787.481,793.051,653.393,688.061,734.737,813.468,786.929,831.013,926.2,988.297,"1,049.97","1,112.79","1,177.04","1,241.64",2018
BFA,Burkina Faso,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",836.463,844.029,855.054,870.183,880.664,821.668,791.413,770.707,760.306,751.762,722.275,712.696,720.938,732.593,746.411,762.421,776.038,2016
BDI,Burundi,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",231.549,247.097,250.118,255.319,273.133,304.243,281.062,291.859,271.289,261.294,255.984,261.053,269.561,280.26,291.83,304.535,317.212,2016
BDI,Burundi,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,
CPV,Cabo Verde,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","6,080.13","6,250.74","6,245.69","6,221.66","6,184.41","6,170.77","6,381.56","6,535.10","6,864.15","7,167.75","6,036.15","6,203.36","6,529.01","6,845.43","7,177.52","7,532.83","7,905.15",2018
CPV,Cabo Verde,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,312.04","3,672.58","3,388.88","3,557.87","3,532.99","2,996.36","3,082.16","3,239.07","3,616.44","3,601.73","3,065.48","3,346.55","3,618.37","3,918.27","4,237.84","4,585.57","4,908.31",2018
CPV,Cabo Verde,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","2,728.46","2,889.92","3,068.25","3,259.28","3,455.68","3,660.66","3,871.96","4,101.00","4,363.21","4,638.22","4,470.18","4,511.43","4,719.66","4,972.97","5,244.57","5,530.01","5,834.98",2019
KHM,Cambodia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",788.19,889.788,965.413,"1,034.82","1,123.18","1,203.48","1,320.33","1,448.11","1,588.00","1,736.42","1,606.81","1,647.02","1,749.81","1,872.93","2,006.88","2,151.59","2,308.74",2019
KHM,Cambodia,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","3,086.22","3,126.79","3,180.77","3,262.76","3,362.67","3,458.69","3,524.44","3,554.52","3,603.55","3,642.28","3,495.70","3,532.14","3,602.23","3,686.82","3,787.25","3,896.35","4,015.60",2019
CMR,Cameroon,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,287.57","1,404.85","1,355.40","1,465.66","1,543.03","1,327.64","1,363.95","1,424.60","1,535.19","1,507.51","1,504.50","1,645.81","1,730.10","1,820.21","1,920.12","2,034.72","2,152.76",2019
CMR,Cameroon,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,
CAN,Canada,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","45,206.13","46,165.98","46,482.40","47,063.78","47,924.29","47,853.97","47,831.31","48,688.07","49,186.08","49,392.36","46,227.63","48,582.28","50,422.12","51,207.03","51,459.36","51,661.50","51,936.08",2020
CAN,Canada,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","47,627.35","52,285.94","52,744.00","52,708.61","51,020.84","43,626.47","42,382.64","45,191.96","46,532.17","46,399.71","43,294.80","52,791.23","56,739.82","59,125.56","61,237.17","63,293.42","65,414.36",2020
CAN,Canada,Output gap in percent of potential GDP,Percent of potential GDP,,"See notes for:  Gross domestic product, constant prices (National currency).",-1.754,-0.354,-0.407,0.041,1.018,-0.147,-0.949,0.374,0.553,0.358,-3.354,-1.043,0.844,0.801,0.258,0.046,0.008,2020
